idx,textstring
20.54.7,it is agayns the proces of nature
20.54.8,and hoom she gooth a sorweful creature
20.54.9,for verray fere unnethe may she go
20.54.10,she wepeth wailleth al a day or two
20.54.11,and swowneth that it routhe was to see
20.54.12,but why it was to no wight tolde she
20.54.13,for out of toune was goon arveragus
20.54.14,but to hirself she spak and seyde thus
20.54.15,with face pale and with ful sorweful chere
20.54.16,in hir compleynt as ye shul after here
20.55.1,allas quod she on thee fortune i pleyne
20.55.2,that unwar wrapped hast me in thy cheyne
20.55.3,for which tescape woot i no socour
20.55.4,save only deeth or elles dishonour
20.55.5,oon of thise two bihoveth me to chese
20.55.6,but nathelees yet have i lever to lese
20.55.7,my lyf than of my body have a shame
20.55.8,or knowe myselven fals or lese my name
20.55.9,and with my deth i may be quit ywis
20.55.10,hath ther nat many a noble wyf er this
20.55.11,and many a mayde yslayn hirself allas
20.55.12,rather than with hir body doon trespas
20.56.1,yis certes lo thise stories beren witnesse
20.56.2,whan thretty tyraunts ful of cursednesse
20.56.3,had slayn phidoun in athenes atte feste
20.56.4,they comanded his doghtres for tareste
20.56.5,and bringen hem biforn hem in despyt
20.56.6,al naked to fulfille hir foul delyt
20.56.7,and in hir fadres blood they made hem daunce
20.56.8,upon the pavement god yeve hem mischaunce
20.56.9,for which thise woful maydens ful of drede
20.56.10,rather than they wolde lese hir maydenhede
20.56.11,they prively ben stirt into a welle
20.56.12,and dreynte hemselven as the bokes telle
20.57.1,they of messene lete enquere and seke
20.57.2,of lacedomie fifty maydens eke
20.57.3,on whiche they wolden doon hir lecherye
20.57.4,but was ther noon of al that companye
20.57.5,that she nas slayn and with a good entente
20.57.6,chees rather for to dye than assente
20.57.7,to been oppressed of hir maydenhede
20.57.8,why sholde i thanne to dye been in drede
20.58.1,lo eek the tiraunt aristoclides
20.58.2,that loved a mayden heet stimphalides
20.58.3,whan that hir fader slayn was on a night
20.58.4,unto dianes temple goth she right
20.58.5,and hente the image in hir handes two
20.58.6,fro which image wolde she never go
20.58.7,no wight ne mighte hir handes of it arace
20.58.8,til she was slayn right in the selve place
20.58.9,now sith that maydens hadden swich despyt
20.58.10,to been defouled with mannes foul delyt
20.58.11,wel oghte a wyf rather hirselven slee
20.58.12,than be defouled as it thinketh me
20.59.1,what shal i seyn of hasdrubales wyf
20.59.2,that at cartage birafte hirself hir lyf
20.59.3,for whan she saugh that romayns wan the toun
20.59.4,she took hir children alle and skipte adoun
20.59.5,into the fyr and chees rather to dye
20.59.6,than any romayn dide hir vileinye
20.60.1,hath nat lucresse yslayn hirself allas
20.60.2,at rome whanne she oppressed was
20.60.3,of tarquin for hir thoughte it was a shame
20.60.4,to liven whan she hadde lost hir name
20.61.1,the sevene maydens of milesie also
20.61.2,han slayn hemself for verray drede and wo
20.61.3,rather than folk of gaule hem sholde oppresse
20.61.4,mo than a thousand stories as i gesse
20.61.5,coude i now telle as touchinge this matere
20.62.1,whan habradate was slayn his wyf so dere
20.62.2,hirselven slow and leet hir blood to glyde
20.62.3,in habradates woundes depe and wyde
20.62.4,and seyde my body at the leeste way
20.62.5,ther shal no wight defoulen if i may
20.63.1,what sholde i mo ensamples heerof sayn
20.63.2,sith that so manye han hemselven slayn
20.63.3,wel rather than they wolde defouled be
20.63.4,i wol conclude that it is bet for me
20.63.5,to sleen myself than been defouled thus
20.63.6,i wol be trewe unto arveragus
20.63.7,or rather sleen myself in som manere
20.63.8,as dide demociones doghter dere
20.63.9,bycause that she wolde nat defouled be
20.64.1,o cedasus it is ful greet pitee
20.64.2,to reden how thy doghtren deyde allas
20.64.3,that slowe hemselven for swich maner cas
20.65.1,as greet a pitee was it or wel more
20.65.2,the theban mayden that for nichanore
20.65.3,hirselven slow right for swich maner wo
20.66.1,another theban mayden dide right so
20.66.2,for oon of macedoine hadde hir oppressed
20.66.3,she with hir deeth hir maydenhede redressed
20.67.1,what shal i seye of nicerates wyf
20.67.2,that for swich cas birafte hirself hir lyf
20.68.1,how trewe eek was to alcebiades
20.68.2,his love that rather for to dyen chees
20.68.3,than for to suffre his body unburied be
20.68.4,lo which a wyf was alceste quod she
20.69.1,what seith omer of gode penalopee
20.69.2,al grece knoweth of hir chastitee
20.70.1,pardee of laodomya is writen thus
20.70.2,that whan at troye was slayn protheselaus
20.70.3,no lenger wolde she live after his day
20.71.1,the same of noble porcia telle i may
20.71.2,withoute brutus coude she nat live
20.71.3,to whom she hadde al hool hir herte yive
20.72.1,the parfit wyfhod of arthemesye
20.72.2,honoured is thurgh al the barbarye
20.73.1,o teuta queen thy wyfly chastitee
20.73.2,to alle wyves may a mirour be
20.73.3,the same thing i seye of bilia om
20.73.4,of rodogone and eek valeria om
20.74.1,thus pleyned dorigene a day or tweye
20.74.2,purposinge ever that she wolde deye
20.75.1,but nathelees upon the thridde night
20.75.2,hom cam arveragus this worthy knight
20.75.3,and asked hir why that she weep so sore
20.75.4,and she gan wepen ever lenger the more
20.76.1,allas quod she that ever was i born
20.76.2,thus have i seyd quod she thus have i sworn
20.76.3,and told him al as ye han herd bifore
20.76.4,it nedeth nat reherce it yow namore
20.77.1,this housbond with glad chere in freendly wyse
20.77.2,answerde and seyde as i shal yow devyse
20.77.3,is ther oght elles dorigen but this
20.78.1,nay nay quod she god help me so as wis
20.78.2,this is to muche and it were goddes wille
20.79.1,ye wyf quod he lat slepen that is stille
20.79.2,it may be wel paraventure yet today
20.79.3,ye shul your trouthe holden by my fay
20.79.4,for god so wisly have mercy on me
20.79.5,i hadde wel lever ystiked for to be
20.79.6,for verray love which that i to yow have
20.79.7,butif ye sholde your trouthe kepe and save
20.79.8,trouthe is the hyeste thing that man may kepe
20.79.9,but with that word he brast anon to wepe
20.79.10,and seyde i yow forbede up peyne of deeth
20.79.11,that never whyl thee lasteth lyf ne breeth
20.79.12,to no wight tel thou of this aventure
20.79.13,as i may best i wol my wo endure
20.79.14,ne make no contenance of hevinesse
20.79.15,that folk of yow may demen harm or gesse
20.80.1,and forth he cleped a squyer and a mayde
20.80.2,goth forth anon with dorigen he sayde
20.80.3,and bringeth hir to swich a place anon
20.80.4,they take hir leve and on hir wey they gon
20.80.5,but they ne wiste why she thider wente
20.80.6,he nolde no wight tellen his entente
20.81.1,paraventure an heep of yow ywis om
20.81.2,wol holden him a lewed man in this om
20.81.3,that he wol putte his wyf in iupartye om
20.81.4,herkneth the tale er ye upon hir crye om
20.81.5,she may have bettre fortune than yow semeth om
20.81.6,and whan that ye han herd the tale demeth om
20.82.1,this squyer which that highte aurelius
20.82.2,on dorigen that was so amorous
20.82.3,of aventure happed hir to mete
20.82.4,amidde the toun right in the quikkest strete
20.82.5,as she was boun to goon the wey forthright
20.82.6,toward the gardin theras she had hight
20.82.7,and he was to the gardinward also
20.82.8,for wel he spyed whan she wolde go
20.82.9,out of hir hous to any maner place
20.82.10,but thus they mette of aventure or grace
20.82.11,and he saleweth hir with glad entente
20.82.12,and asked of hir whiderward she wente
20.83.1,and she answerde half as she were mad
20.83.2,unto the gardin as myn housbond bad
20.83.3,my trouthe for to holde allas allas
20.84.1,aurelius gan wondren on this cas
20.84.2,and in his herte had greet compassioun
20.84.3,of hir and of hir lamentacioun
20.84.4,and of arveragus the worthy knight
20.84.5,that bad hir holden al that she had hight
20.84.6,so looth him was his wyf sholde breke hir trouthe
20.84.7,and in his herte he caughte of this greet routhe
20.84.8,consideringe the beste on every syde
20.84.9,that fro his lust yet were him lever abyde
20.84.10,than doon so heigh a cherlish wrecchednesse
20.84.11,agayns franchyse and alle gentillesse
20.84.12,for which in fewe wordes seyde he thus
20.85.1,madame seyth to your lord arveragus
20.85.2,that sith i see his grete gentillesse
20.85.3,to yow and eek i see wel your distresse
20.85.4,that him were lever han shame and that were routhe
20.85.5,than ye to me sholde breke thus your trouthe
20.85.6,i have wel lever ever to suffre wo
20.85.7,than i departe the love bitwix yow two
20.85.8,i yow relesse madame into your hond
20.85.9,quit every surement and every bond
20.85.10,that ye han maad to me as heerbiforn
20.85.11,sith thilke tyme which that ye were born
20.85.12,my trouthe i plighte i shal yow never repreve
20.85.13,of no biheste and here i take my leve
20.85.14,as of the treweste and the beste wyf
20.85.15,that ever yet i knew in al my lyf
20.85.16,but every wyf bewar of hir biheste
20.85.17,on dorigene remembreth atte leste
20.85.18,thus can a squyer doon a gentil dede
20.85.19,as well as can a knight withouten drede
20.86.1,she thonketh him upon hir knees al bare
20.86.2,and hoom unto hir housbond is she fare
20.86.3,and tolde him al as ye han herd me sayd
20.86.4,and be ye siker he was so weel apayd
20.86.5,that it were inpossible me to wryte
20.86.6,what sholde i lenger of this cas endyte
20.87.1,arveragus and dorigene his wyf
20.87.2,in sovereyn blisse leden forth hir lyf
20.87.3,never eft ne was ther angre hem bitwene
20.87.4,he cherisseth hir as though she were a quene
20.87.5,and she was to him trewe for evermore
20.87.6,of thise two folk ye gete of me namore
20.88.1,aurelius that his cost hath al forlorn
20.88.2,curseth the tyme that ever he was born
20.88.3,allas quod he allas that i bihighte
20.88.4,of pured gold a thousand pound of wighte
20.88.5,unto this philosophre how shal i do
20.88.6,i see namore but that i am fordo
20.88.7,myn heritage moot i nedes selle
20.88.8,and been a begger heer may i nat dwelle
20.88.9,and shamen al my kinrede in this place
20.88.10,but i of him may gete bettre grace
20.88.11,but nathelees i wol of him assaye
20.88.12,at certeyn dayes yeer by yeer to paye
20.88.13,and thanke him of his grete curteisye
20.88.14,my trouthe wol i kepe i wol nat lye
20.89.1,with herte soor he gooth unto his cofre
20.89.2,and broghte gold unto this philosophre
20.89.3,the value of fyve hundred pound i gesse
20.89.4,and him bisecheth of his gentillesse
20.89.5,to graunte him dayes of the remenaunt
20.89.6,and seyde maister i dar wel make avaunt
20.89.7,i failled never of my trouthe as yit
20.89.8,for sikerly my dette shal be quit
20.89.9,towardes yow however that i fare
20.89.10,to goon abegged in my kirtle bare
20.89.11,but wolde ye vouchesauf upon seurtee
20.89.12,two yeer or three for to respyten me
20.89.13,than were i wel for elles moot i selle
20.89.14,myn heritage ther is namore to telle
20.90.1,this philosophre sobrely answerde
20.90.2,and seyde thus whan he thise wordes herde
20.90.3,have i nat holden covenant unto thee
20.90.4,yes certes wel and trewely quod he
20.90.5,hastow nat had thy lady as thee lyketh
20.90.6,no no quod he and sorwefully he syketh
20.90.7,what was the cause tel me if thou can
20.90.8,aurelius his tale anon bigan
20.90.9,and tolde him al as ye han herd bifore
20.90.10,it nedeth nat to yow reherce it more
20.91.1,he seide arveragus of gentillesse
20.91.2,had lever dye in sorwe and in distresse
20.91.3,than that his wyf were of hir trouthe fals
20.91.4,the sorwe of dorigen he tolde him als
20.91.5,how looth hir was to been a wikked wyf
20.91.6,and that she lever had lost that day hir lyf
20.91.7,and that hir trouthe she swoor thurgh innocence
20.91.8,she never erst herde speke of apparence
20.91.9,that made me han of hir so greet pitee
20.91.10,and right as frely as he sente hir me
20.91.11,as frely sente i hir to him ageyn
20.91.12,this al and som ther is namore to seyn
20.92.1,this philosophre answerde leve brother
20.92.2,everich of yow dide gentilly til other
20.92.3,thou art a squyer and he is a knight
20.92.4,but god forbede for his blisful might
20.92.5,butif a clerk coude doon a gentil dede
20.92.6,as wel as any of yow it is no drede
20.93.1,sire i relesse thee thy thousand pound
20.93.2,as thou right now were cropen out of the ground
20.93.3,ne never er now ne haddest knowen me
20.93.4,for sire i wol nat take a peny of thee
20.93.5,for al my craft ne noght for my travaille
20.93.6,thou hast ypayed wel for my vitaille
20.93.7,it is ynogh and farewel have good day
20.93.8,and took his hors and forth he gooth his way
20.94.1,lordinges this question wolde i aske now
20.94.2,which was the moste free as thinketh yow
20.94.3,now telleth me er that ye ferther wende
20.94.4,i can namore my tale is at an ende
21.1.1,the ministre and the norice unto vyces
21.1.2,which that men clepe in english ydelnesse
21.1.3,that porter of the gate is of delyces
21.1.4,to eschue and by hir contrarie hir oppresse
21.1.5,that is to seyn by leveful bisinesse
21.1.6,wel oghten we to doon al our entente
21.1.7,lest that the feend thurgh ydelnesse us hente
21.2.1,for he that with his thousand cordes slye
21.2.2,continuelly us waiteth to biclappe
21.2.3,whan he may man in ydelnesse espye
21.2.4,he can so lightly cacche him in his trappe
21.2.5,til that a man be hent right by the lappe
21.2.6,he nis nat war the feend hath him in honde
21.2.7,wel oughte us werche and ydelnes withstonde
21.3.1,and though men dradden never for to dye
21.3.2,yet seen men wel by reson doutelees
21.3.3,that ydelnesse is roten slogardye
21.3.4,of which ther never comth no good encrees
21.3.5,and seen that slouthe hir holdeth in a lees
21.3.6,only to slepe and for to ete and drinke
21.3.7,and to devouren al that othere swinke
21.4.1,and for to putte us fro swich ydelnesse
21.4.2,that cause is of so greet confusioun
21.4.3,i have heer doon my feithful bisinesse
21.4.4,after the legende in translacioun
21.4.5,right of thy glorious lyf and passioun
21.4.6,thou with thy gerland wroght of rose and lilie
21.4.7,thee mene i mayde and martir seint cecilie
21.5.1,and thou that flour of virgines art alle
21.5.2,of whom that bernard list so wel to wryte
21.5.3,to thee at my biginning first i calle
21.5.4,thou comfort of us wrecches do me endyte
21.5.5,thy maydens deeth that wan thurgh hir meryte
21.5.6,the eternal lyf and of the feend victorie
21.5.7,as man may after reden in hir storie
21.6.1,thou mayde and mooder doghter of thy sone
21.6.2,thou welle of mercy sinful soules cure
21.6.3,in whom that god for bountee chees to wone
21.6.4,thou humble and heigh over every creature
21.6.5,thou nobledest so ferforth our nature
21.6.6,that no desdeyn the maker hadde of kinde
21.6.7,his sone in blode and flesh to clothe and winde
21.7.1,withinne the cloistre blisful of thy sydes
21.7.2,took mannes shap the eternal love and pees
21.7.3,that of the tryne compas lord and gyde is
21.7.4,whom erthe and see and heven out of relees
21.7.5,ay herien and thou virgin wemmelees
21.7.6,bar of thy body and dweltest mayden pure
21.7.7,the creatour of every creature
21.8.1,assembled is in thee magnificence
21.8.2,with mercy goodnesse and with swich pitee
21.8.3,that thou that art the sonne of excellence
21.8.4,nat only helpest hem that preyen thee
21.8.5,but ofte tyme of thy benignitee
21.8.6,ful frely er that men thyn help biseche
21.8.7,thou goost biforn and art hir lyves leche
21.9.1,now help thou meke and blisful fayre mayde
21.9.2,me flemed wrecche in this desert of galle
21.9.3,think on the womman cananee that sayde
21.9.4,that whelpes eten somme of the crommes alle
21.9.5,that from hir lordes table been yfalle
21.9.6,and though that i unworthy sone of eve
21.9.7,be sinful yet accepte my bileve
21.10.1,and for that feith is deed withouten werkes
21.10.2,so for to werken yif me wit and space
21.10.3,that i be quit fro thennes that most derk is
21.10.4,o thou that art so fayr and ful of grace
21.10.5,be myn advocat in that heighe place
21.10.6,theras withouten ende is songe osanne
21.10.7,thou cristes mooder doghter dere of anne
21.11.1,and of thy light my soule in prison lighte
21.11.2,that troubled is by the contagioun
21.11.3,of my body and also by the wighte
21.11.4,of erthly luste and fals affeccioun
21.11.5,o haven of refut o salvacioun
21.11.6,of hem that been in sorwe and in distresse
21.11.7,now help for to my werk i wol me dresse
21.12.1,yet preye i yow that reden that i wryte
21.12.2,foryeve me that i do no diligence
21.12.3,this ilke storie subtilly to endyte
21.12.4,for both have i the wordes and sentence
21.12.5,of him that at the seintes reverence
21.12.6,the storie wroot and folwe hir legende
21.12.7,and prey yow that ye wol my werk amende
21.13.1,first wolde i yow the name of seint cecilie
21.13.2,expoune as men may in hir storie see
21.13.3,it is to seye in english hevenes lilie
21.13.4,for pure chastnesse of virginitee
21.13.5,or for she whytnesse hadde of honestee
21.13.6,and grene of conscience and of good fame
21.13.7,the sole savour lilie was hir name
21.14.1,or cecile is to seye the wey to blinde
21.14.2,for she ensample was by good techinge
21.14.3,or elles cecile as i writen finde
21.14.4,is ioyned by a maner conioininge
21.14.5,of hevene and lia and heer in figuringe
21.14.6,the heven is set for thoght of holinesse
21.14.7,and lia for hir lasting bisinesse
21.15.1,cecile may eek be seyd in this manere
21.15.2,wanting of blindnesse for hir grete light
21.15.3,of sapience and for hir thewes clere
21.15.4,or elles lo this maydens name bright
21.15.5,of hevene and leos comth for which by right
21.15.6,men mighte hir wel the heven of peple calle
21.15.7,ensample of gode and wyse werkes alle
21.16.1,for leos peple in english is to seye
21.16.2,and right as men may in the hevene see
21.16.3,the sonne and mone and sterres every weye
21.16.4,right so men gostly in this mayden free
21.16.5,seyen of feith the magnanimitee
21.16.6,and eek the cleernesse hool of sapience
21.16.7,and sondry werkes brighte of excellence
21.17.1,and right so as thise philosophres wryte
21.17.2,that heven is swift and round and eek brenninge
21.17.3,right so was fayre cecilie the whyte
21.17.4,ful swift and bisy ever in good werkinge
21.17.5,and round and hool in good perseveringe
21.17.6,and brenning ever in charitee ful brighte
21.17.7,now have i yow declared what she highte
21.18.1,this mayden bright cecilie as hir lyf seith
21.18.2,was comen of romayns and of noble kinde
21.18.3,and from hir cradel up fostred in the feith
21.18.4,of crist and bar his gospel in hir minde
21.18.5,she never cessed as i writen finde
21.18.6,of hir preyere and god to love and drede
21.18.7,biseking him to kepe hir maydenhede
21.19.1,and when this mayden sholde unto a man
21.19.2,ywedded be that was ful yong of age
21.19.3,which that ycleped was valerian
21.19.4,and day was comen of hir mariage
21.19.5,she ful devout and humble in hir corage
21.19.6,under hir robe of gold that sat ful fayre
21.19.7,had next hir flesh yclad hir in an heyre
21.20.1,and whyl the organs maden melodye
21.20.2,to god alone in herte thus sang she
21.20.3,o lord my soule and eek my body gye
21.20.4,unwemmed lest that i confounded be
21.20.5,and for his love that deyde upon a tree
21.20.6,every seconde or thridde day she faste
21.20.7,ay biddinge in hir orisons ful faste
21.21.1,the night cam and to bedde moste she gon
21.21.2,with hir housbonde as ofte is the manere
21.21.3,and prively to him she seyde anon
21.21.4,o swete and wel biloved spouse dere
21.21.5,ther is a conseil and ye wolde it here
21.21.6,which that right fain i wolde unto yow seye
21.21.7,so that ye swere ye shul me nat biwreye
21.22.1,valerian gan faste unto hir swere
21.22.2,that for no cas ne thing that mighte be
21.22.3,he sholde nevermo biwreyen here
21.22.4,and thanne at erst to him thus seyde she
21.22.5,i have an angel which that loveth me
21.22.6,that with greet love wherso i wake or slepe
21.22.7,is redy ay my body for to kepe
21.23.1,and if that he may felen out of drede
21.23.2,that ye me touche or love in vileinye
21.23.3,he right anon wol slee yow with the dede
21.23.4,and in your yowthe thus ye shulden dye
21.23.5,and if that ye in clene love me gye
21.23.6,he wol yow loven as me for your clennesse
21.23.7,and shewen yow his ioye and his brightnesse
21.24.1,valerian corrected as god wolde
21.24.2,answerde agayn if i shal trusten thee
21.24.3,lat me that angel se and him biholde
21.24.4,and if that it a verray angel be
21.24.5,than wol i doon as thou hast preyed me
21.24.6,and if thou love another man for sothe
21.24.7,right with this swerd than wol i slee yow bothe
21.25.1,cecile answerde anon right in this wyse
21.25.2,if that yow list the angel shul ye see
21.25.3,so that ye trowe on crist and yow baptyse
21.25.4,goth forth to via apia quod she
21.25.5,that fro this toun ne stant but myles three
21.25.6,and to the povre folkes that ther dwelle
21.25.7,sey hem right thus as that i shal yow telle
21.26.1,telle hem that i cecile yow to hem sente
21.26.2,to shewen yow the gode urban the olde
21.26.3,for secree nedes and for good entente
21.26.4,and whan that ye seint urban han biholde
21.26.5,telle him the wordes whiche i to yow tolde
21.26.6,and whan that he hath purged yow fro sinne
21.26.7,thanne shul ye see that angel er ye twinne
21.27.1,valerian is to the place ygon
21.27.2,and right as him was taught by his lerninge
21.27.3,he fond this holy olde urban anon
21.27.4,among the seintes buriels lotinge
21.27.5,and he anon withouten taryinge
21.27.6,dide his message and whan that he it tolde
21.27.7,urban for ioye his hondes gan up holde
21.28.1,the teres from his yen leet he falle
21.28.2,almighty lord o iesu crist quod he
21.28.3,sower of chast conseil herde of us alle
21.28.4,the fruit of thilke seed of chastitee
21.28.5,that thou hast sowe in cecile tak to thee
21.28.6,lo lyk a bisy bee withouten gyle
21.28.7,thee serveth ay thyn owene thral cecile
21.29.1,for thilke spouse that she took but now
21.29.2,ful lyk a fiers leoun she sendeth here
21.29.3,as meke as ever was any lamb to yow
21.29.4,and with that worde anon ther gan appere
21.29.5,an old man clad in whyte clothes clere
21.29.6,that hadde a book with lettre of golde in honde
21.29.7,and gan biforn valerian to stonde
21.30.1,valerian as deed fil doun for drede
21.30.2,whan he him saugh and he up hente him tho
21.30.3,and on his book right thus he gan to rede
21.30.4,oo lord oo feith oo god withouten mo
21.30.5,oo cristendom and fader of alle also
21.30.6,aboven alle and over al everywhere
21.30.7,thise wordes al with gold ywriten were
21.31.1,whan this was rad than seyde this olde man
21.31.2,levestow this thing or no sey ye or nay
21.31.3,i leve al this thing quod valerian
21.31.4,for sother thing than this i dar wel say
21.31.5,under the hevene no wight thinke may
21.31.6,tho vanisshed the olde man he niste where
21.31.7,and pope urban him cristened right there
21.32.1,valerian goth hoom and fint cecilie
21.32.2,withinne his chambre with an angel stonde
21.32.3,this angel hadde of roses and of lilie
21.32.4,corones two the which he bar in honde
21.32.5,and first to cecile as i understonde
21.32.6,he yaf that oon and after gan he take
21.32.7,that other to valerian hir make
21.33.1,with body clene and with unwemmed thoght
21.33.2,kepeth ay wel thise corones quod he
21.33.3,fro paradys to yow have i hem broght
21.33.4,ne nevermo ne shal they roten be
21.33.5,ne lese her sote savour trusteth me
21.33.6,ne never wight shal seen hem with his ye
21.33.7,but he be chaast and hate vileinye
21.34.1,and thou valerian for thou so sone
21.34.2,assentedest to good conseil also
21.34.3,sey what thee list and thou shalt han thy bone
21.34.4,i have a brother quod valerian tho
21.34.5,that in this world i love no man so
21.34.6,i pray yow that my brother may han grace
21.34.7,to knowe the trouthe as i do in this place
21.35.1,the angel seyde god lyketh thy requeste
21.35.2,and bothe with the palm of martirdom
21.35.3,ye shullen come unto his blisful feste
21.35.4,and with that word tiburce his brother com
21.35.5,and whan that he the savour undernom
21.35.6,which that the roses and the lilies caste
21.35.7,withinne his herte he gan to wondre faste
21.36.1,and seyde i wondre this tyme of the yeer
21.36.2,whennes that sote savour cometh so
21.36.3,of rose and lilies that i smelle heer
21.36.4,for though i hadde hem in myn hondes two
21.36.5,the savour mighte in me no depper go
21.36.6,the sote smel that in myn herte i finde
21.36.7,hath chaunged me al in another kinde
21.37.1,valerian seyde two corones han we
21.37.2,snowwhyte and rosereed that shynen clere
21.37.3,whiche that thyn yen han no might to see
21.37.4,and as thou smellest hem thurgh my preyere
21.37.5,so shaltow seen hem leve brother dere
21.37.6,if it so be thou wolt withouten slouthe
21.37.7,bileve aright and knowen verray trouthe
21.38.1,tiburce answerde seistow this to me
21.38.2,in soothnesse or in dreem i herkne this
21.38.3,in dremes quod valerian han we be
21.38.4,unto this tyme brother myn ywis
21.38.5,but now at erst in trouthe our dwelling is
21.38.6,how woostow this quod tiburce in what wyse
21.38.7,quod valerian that shal i thee devyse
21.39.1,the angel of god hath me the trouthe ytaught
21.39.2,which thou shalt seen if that thou wolt reneye
21.39.3,the ydoles and be clene and elles naught
21.39.4,and of the miracle of thise corones tweye
21.39.5,seint ambrose in his preface list to seye
21.39.6,solempnely this noble doctour dere
21.39.7,commendeth it and seith in this manere
21.40.1,the palm of martirdom for to receyve
21.40.2,seinte cecile fulfild of goddes yifte
21.40.3,the world and eek hir chambre gan she weyve
21.40.4,witnes tyburces and valerians shrifte
21.40.5,to whiche god of his bountee wolde shifte
21.40.6,corones two of floures wel smellinge
21.40.7,and made his angel hem the corones bringe
21.41.1,the mayde hath broght thise men to blisse above
21.41.2,the world hath wist what it is worth certeyn
21.41.3,devocioun of chastitee to love
21.41.4,tho shewede him cecile al open and pleyn
21.41.5,that alle ydoles nis but a thing in veyn
21.41.6,for they been dombe and therto they been deve
21.41.7,and charged him his ydoles for to leve
21.42.1,who so that troweth nat this a beste he is
21.42.2,quod tho tiburce if that i shal nat lye
21.42.3,and she gan kisse his brest that herde this
21.42.4,and was ful glad he coude trouthe espye
21.42.5,this day i take thee for myn allye
21.42.6,seyde this blisful fayre mayde dere
21.42.7,and after that she seyde as ye may here
21.43.1,lo right so as the love of crist quod she
21.43.2,made me thy brotheres wyf right in that wyse
21.43.3,anon for myn allye heer take i thee
21.43.4,sin that thou wolt thyn ydoles despyse
21.43.5,go with thy brother now and thee baptyse
21.43.6,and make thee clene so that thou mowe biholde
21.43.7,the angels face of which thy brother tolde
21.44.1,tiburce answerde and seyde brother dere
21.44.2,first tel me whider i shal and to what man
21.44.3,to whom quod he com forth with right good chere
21.44.4,i wol thee lede unto the pope urban
21.44.5,til urban brother myn valerian
21.44.6,quod tho tiburce woltow me thider lede
21.44.7,me thinketh that it were a wonder dede
21.45.1,ne menestow nat urban quod he tho
21.45.2,that is so ofte dampned to be deed
21.45.3,and woneth in halkes alwey to and fro
21.45.4,and dar nat ones putte forth his heed
21.45.5,men sholde him brennen in a fyr so reed
21.45.6,if he were founde or that men mighte him spye
21.45.7,and we also to bere him companye
21.46.1,and whyl we seken thilke divinitee
21.46.2,that is yhid in hevene prively
21.46.3,algate ybrend in this world shul we be
21.46.4,to whom cecile answerde boldely
21.46.5,men mighten dreden wel and skilfully
21.46.6,this lyf to lese myn owene dere brother
21.46.7,if this were livinge only and non other
21.47.1,but ther is better lyf in other place
21.47.2,that never shal be lost ne drede thee noght
21.47.3,which goddes sone us tolde thurgh his grace
21.47.4,that fadres sone hath alle thinges wroght
21.47.5,and al that wroght is with a skilful thoght
21.47.6,the goost that fro the fader gan precede
21.47.7,hath sowled hem withouten any drede
21.48.1,by word and by miracle goddes sone
21.48.2,whan he was in this world declared here
21.48.3,that ther was other lyf ther men may wone
21.48.4,to whom answerde tiburce o suster dere
21.48.5,ne seydestow right now in this manere
21.48.6,ther nis but o god lord in soothfastnesse
21.48.7,and now of three how maystow bere witnesse
21.49.1,that shal i telle quod she er i go
21.49.2,right as a man hath sapiences three
21.49.3,memorie engyn and intellect also
21.49.4,so in o being of divinitee
21.49.5,three persones may ther right wel be
21.49.6,tho gan she him ful bisily to preche
21.49.7,of cristes come and of his peynes teche
21.50.1,and many pointes of his passioun
21.50.2,how goddes sone in this world was withholde
21.50.3,to doon mankinde pleyn remissioun
21.50.4,that was ybounde in sinne and cares colde
21.50.5,al this thing she unto tiburce tolde
21.50.6,and after this tiburce in good entente
21.50.7,with valerian to pope urban he wente
21.51.1,that thanked god and with glad herte and light
21.51.2,he cristned him and made him in that place
21.51.3,parfit in his lerninge goddes knight
21.51.4,and after this tiburce gat swich grace
21.51.5,that every day he saugh in tyme and space
21.51.6,the angel of god and every maner bone
21.51.7,that he god axed it was sped ful sone
21.52.1,it were ful hard by ordre for to seyn
21.52.2,how many wondres iesus for hem wroghte
21.52.3,but atte laste to tellen short and pleyn
21.52.4,the sergeants of the toun of rome hem soghte
21.52.5,and hem biforn almache the prefect broghte
21.52.6,which hem apposed and knew al hir entente
21.52.7,and to the image of iupiter hem sente
21.53.1,and seyde who so wol nat sacrifyse
21.53.2,swap of his heed this is my sentence here
21.53.3,anon thise martirs that i yow devyse
21.53.4,oon maximus that was an officere
21.53.5,of the prefectes and his corniculere
21.53.6,hem hente and whan he forth the seintes ladde
21.53.7,himself he weep for pitee that he hadde
21.54.1,whan maximus had herd the seintes lore
21.54.2,he gat him of the tormentoures leve
21.54.3,and ladde hem to his hous withoute more
21.54.4,and with hir preching er that it were eve
21.54.5,they gonnen fro the tormentours to reve
21.54.6,and fro maxime and fro his folk echone
21.54.7,the false feith to trowe in god allone
21.55.1,cecilie cam whan it was woxen night
21.55.2,with preestes that hem cristned alle yfere
21.55.3,and afterward whan day was woxen light
21.55.4,cecile hem seyde with a ful sobre chere
21.55.5,now cristes owene knightes leve and dere
21.55.6,caste alle awey the werkes of derknesse
21.55.7,and armeth yow in armure of brightnesse
21.56.1,ye han for sothe ydoon a greet bataille
21.56.2,your cours is doon your feith han ye conserved
21.56.3,goth to the corone of lyf that may nat faille
21.56.4,the rightful iuge which that ye han served
21.56.5,shall yeve it yow as ye han it deserved
